Iteration,Total-Applicants-Assigned,Total-#-Houses,Disabiled-Applicants-Assigned,%-Disabiled-Applicants-Assigned,Disability-Utility,Distance-Utility,#-Blacks,#-Hispanics,#-Whites,#-Others,%-Blacks,%-Hispanics,%-Whites,%-Others
32,292,292,77,1.0,366.74764176731804,6.172229928151994,110,61,115,6,0.5445544554455446,0.5754716981132075,0.4791666666666667,0.42857142857142855
33,292,292,83,1.0,325.3230274688938,6.365986652254541,118,49,116,9,0.5339366515837104,0.5104166666666666,0.5225225225225225,0.391304347826087
34,292,292,84,1.0,334.77399256203057,6.275125520136266,115,47,127,3,0.5227272727272727,0.49473684210526314,0.5427350427350427,0.23076923076923078
35,292,292,58,1.0,323.42522971509146,6.319883798859137,88,40,153,11,0.47058823529411764,0.5194805194805194,0.5503597122302158,0.55
36,292,292,93,1.0,381.07489581863854,6.23468854642051,119,41,123,9,0.5862068965517241,0.44086021505376344,0.4880952380952381,0.6428571428571429
37,292,292,75,1.0,341.9349939772535,6.2590210921709035,102,53,128,9,0.5177664974619289,0.5698924731182796,0.5079365079365079,0.45
38,292,292,82,1.0,348.98412008063076,6.260991573840504,90,45,140,17,0.4838709677419355,0.4945054945054945,0.5363984674329502,0.7083333333333334
39,292,292,77,1.0,354.17009016949237,6.143608514874661,118,38,130,6,0.5673076923076923,0.4810126582278481,0.49242424242424243,0.5454545454545454
40,292,292,81,1.0,335.72220790959545,6.345168536454797,107,43,125,17,0.49767441860465117,0.5119047619047619,0.5319148936170213,0.6071428571428571
41,292,292,75,1.0,366.47096992240563,6.263178373291951,110,37,137,8,0.5116279069767442,0.46835443037974683,0.5393700787401575,0.5714285714285714
42,292,292,65,1.0,337.1987594817253,6.237280576713885,106,35,137,14,0.5353535353535354,0.4430379746835443,0.5189393939393939,0.6666666666666666
43,292,292,62,1.0,358.1765310774965,6.251915831830437,108,55,121,8,0.5094339622641509,0.5288461538461539,0.5238095238095238,0.5333333333333333
44,292,292,72,1.0,351.0312462521619,6.245918186192534,114,37,133,8,0.5428571428571428,0.5,0.49812734082397003,0.7272727272727273
45,292,292,73,1.0,338.52644515609535,6.323554024441512,112,38,130,12,0.49557522123893805,0.5507246376811594,0.5327868852459017,0.5217391304347826
46,292,292,59,1.0,359.00953976212094,6.257311959304955,102,47,132,11,0.5204081632653061,0.5053763440860215,0.5196850393700787,0.5789473684210527
47,292,292,75,1.0,336.64531329975875,6.349687885812873,108,50,120,14,0.484304932735426,0.6097560975609756,0.5150214592274678,0.5833333333333334
48,292,292,72,1.0,314.34010311938374,6.442146551792222,107,45,129,11,0.5023474178403756,0.5056179775280899,0.5352697095435685,0.5789473684210527
49,292,292,78,1.0,336.2872124097908,6.156204336984138,117,39,129,7,0.508695652173913,0.4936708860759494,0.5397489539748954,0.5
50,292,292,62,1.0,350.8905115885064,6.241111659511281,105,48,125,14,0.5412371134020618,0.5,0.5020080321285141,0.6086956521739131
51,292,292,69,1.0,339.5868588995243,6.356781963827307,109,51,119,13,0.5422885572139303,0.49514563106796117,0.5151515151515151,0.48148148148148145
52,292,292,59,1.0,330.16198471024774,6.405381370905826,107,54,119,12,0.5,0.5454545454545454,0.5129310344827587,0.7058823529411765
53,292,292,77,1.0,326.583504330261,6.262623534485987,115,36,133,8,0.5373831775700935,0.4864864864864865,0.5115384615384615,0.5714285714285714
54,292,292,68,1.0,328.9734814457604,6.285759766217396,98,51,135,8,0.49746192893401014,0.53125,0.5378486055776892,0.4444444444444444
55,292,292,69,1.0,310.31830149401327,6.409502457525147,109,38,138,7,0.5240384615384616,0.4470588235294118,0.5454545454545454,0.4375
56,292,292,71,1.0,328.0764116999445,6.296920284059713,122,40,120,10,0.5622119815668203,0.5063291139240507,0.4979253112033195,0.4
57,292,292,67,1.0,319.5568780139211,6.38258271610143,111,47,128,6,0.5414634146341464,0.5164835164835165,0.5182186234817814,0.3157894736842105
58,292,292,66,1.0,341.1298067562225,6.357113258138713,121,40,120,11,0.55,0.5194805194805194,0.49586776859504134,0.4782608695652174
59,292,292,77,1.0,328.29894275552755,6.322310872309232,106,50,119,17,0.5,0.5494505494505495,0.5107296137339056,0.6538461538461539
60,292,292,70,1.0,319.9641780071093,6.394839690665979,97,48,134,13,0.5105263157894737,0.5393258426966292,0.5193798449612403,0.52
61,292,292,65,1.0,318.42158570545956,6.424395999987368,102,37,143,10,0.4857142857142857,0.4805194805194805,0.5478927203065134,0.7142857142857143
62,292,292,61,1.0,313.7412572343002,6.316593459890659,107,45,134,6,0.5119617224880383,0.5232558139534884,0.5275590551181102,0.46153846153846156
63,292,292,83,1.0,321.70450698625785,6.302828864181956,109,50,125,8,0.5532994923857868,0.5376344086021505,0.49603174603174605,0.4
64,292,292,75,1.0,335.34681659636993,6.278925321662239,102,49,129,12,0.4880382775119617,0.5268817204301075,0.5330578512396694,0.6666666666666666
65,292,292,80,1.0,342.0188505511741,6.244636188950486,105,44,134,9,0.5198019801980198,0.5238095238095238,0.5214007782101168,0.47368421052631576
66,292,292,63,1.0,323.48027380008057,6.363420527071324,113,55,112,12,0.5330188679245284,0.5445544554455446,0.49557522123893805,0.5217391304347826
67,292,292,80,1.0,355.57921657637587,6.297720892372762,114,47,125,6,0.5253456221198156,0.5164835164835165,0.5230125523012552,0.4
68,292,292,70,1.0,335.3972858053861,6.29164725346642,107,40,137,8,0.4885844748858447,0.47619047619047616,0.5708333333333333,0.42105263157894735
69,292,292,66,1.0,350.70861736997665,6.310666852952939,117,56,110,9,0.52,0.5544554455445545,0.5116279069767442,0.42857142857142855
70,292,292,70,1.0,373.32189947523847,6.252827384304754,123,49,112,8,0.5394736842105263,0.532608695652174,0.49777777777777776,0.47058823529411764
71,292,292,83,1.0,325.16990649359815,6.321520288416873,112,41,123,16,0.5258215962441315,0.47674418604651164,0.5189873417721519,0.6153846153846154
72,292,292,76,1.0,333.08590659973646,6.222636301808644,96,45,137,14,0.49230769230769234,0.5056179775280899,0.541501976284585,0.56
73,292,292,70,1.0,344.0509857571387,6.351274936039014,111,42,129,10,0.511520737327189,0.4883720930232558,0.5286885245901639,0.6666666666666666
74,292,292,67,1.0,334.0795658908829,6.345191246467721,93,46,143,10,0.4946808510638298,0.5897435897435898,0.5143884892086331,0.5555555555555556
75,292,292,78,1.0,332.35954903613714,6.244468214477174,114,37,134,7,0.5377358490566038,0.4457831325301205,0.536,0.4117647058823529
76,292,292,80,1.0,341.13577212678524,6.267893820116477,122,47,115,8,0.5083333333333333,0.5108695652173914,0.5348837209302325,0.5333333333333333
77,292,292,65,1.0,334.4791692205917,6.27197427311775,103,46,132,11,0.5099009900990099,0.4946236559139785,0.5365853658536586,0.5238095238095238
78,292,292,73,1.0,346.2882464539797,6.2648081090042,115,40,125,12,0.5180180180180181,0.46511627906976744,0.5296610169491526,0.6666666666666666
79,292,292,68,1.0,340.8068262744919,6.244083411168544,107,45,129,11,0.5404040404040404,0.42452830188679247,0.5375,0.6111111111111112
80,292,292,69,1.0,318.9314199175697,6.2996689799310275,105,53,123,11,0.5,0.5353535353535354,0.5256410256410257,0.5789473684210527
81,292,292,75,1.0,335.1162090827351,6.319588709117953,103,55,129,5,0.49282296650717705,0.632183908045977,0.5098814229249012,0.38461538461538464
82,292,292,84,1.0,347.61659404586845,6.224595636793414,114,48,120,10,0.5253456221198156,0.5217391304347826,0.5194805194805194,0.45454545454545453
83,292,292,66,1.0,323.8816964417033,6.352668366170487,113,45,128,6,0.5255813953488372,0.5487804878048781,0.5245901639344263,0.2857142857142857
84,292,292,73,1.0,355.57639832807064,6.226952463765938,118,35,127,12,0.5244444444444445,0.43209876543209874,0.5427350427350427,0.5454545454545454
85,292,292,70,1.0,328.3773815940197,6.252231374272962,120,53,113,6,0.5217391304347826,0.5520833333333334,0.518348623853211,0.3333333333333333
86,292,292,74,1.0,360.77304893184703,6.21303918179934,100,46,136,10,0.4854368932038835,0.46938775510204084,0.5643153526970954,0.5882352941176471
87,292,292,77,1.0,338.0931154132712,6.233178044528807,109,51,121,11,0.49321266968325794,0.5930232558139535,0.5170940170940171,0.5238095238095238
88,292,292,77,1.0,317.3247884859524,6.269683315401031,119,38,123,12,0.5666666666666667,0.4691358024691358,0.48616600790513836,0.6666666666666666
89,292,292,60,1.0,347.0017797480223,6.337981201376951,84,52,145,11,0.44919786096256686,0.5714285714285714,0.5513307984790875,0.5238095238095238
90,292,292,79,1.0,377.51554803309546,6.135979893418907,116,42,122,12,0.5321100917431193,0.4666666666666667,0.5258620689655172,0.5454545454545454
91,292,292,77,1.0,333.6919139669428,6.27451021351763,128,35,122,7,0.5446808510638298,0.4375,0.5374449339207048,0.35
92,292,292,55,1.0,338.79070959272485,6.2145939516539395,119,37,126,10,0.5219298245614035,0.45121951219512196,0.5431034482758621,0.5
93,292,292,76,1.0,334.2887188541209,6.198660336905533,95,50,135,12,0.472636815920398,0.5882352941176471,0.52734375,0.6
94,292,292,85,1.0,329.5009356055952,6.24709793617125,102,52,123,15,0.5340314136125655,0.5591397849462365,0.4900398406374502,0.5555555555555556
95,292,292,66,1.0,332.7719088254387,6.314873173233525,118,41,120,13,0.5339366515837104,0.4880952380952381,0.5063291139240507,0.65
96,292,292,63,1.0,317.6257116118661,6.282641734746775,105,43,132,12,0.4976303317535545,0.589041095890411,0.528,0.42857142857142855
97,292,292,72,1.0,321.25981835771086,6.349006160949767,106,35,141,10,0.5023696682464455,0.4605263157894737,0.5444015444015444,0.625
98,292,292,76,1.0,342.0803053751542,6.3177998283993375,103,47,134,8,0.5073891625615764,0.5164835164835165,0.5338645418326693,0.47058823529411764
99,292,292,74,1.0,366.80178495877084,6.246256957982124,113,51,123,5,0.5280373831775701,0.51,0.5189873417721519,0.45454545454545453
100,292,292,61,1.0,321.77544401055667,6.396676575439209,107,52,123,10,0.4908256880733945,0.5416666666666666,0.5347826086956522,0.5555555555555556
