Iteration,Total-Applicants-Assigned,Total-#-Houses,Disabiled-Applicants-Assigned,%-Disabiled-Applicants-Assigned,Disability-Utility,Distance-Utility,#-Blacks,#-Hispanics,#-Whites,#-Others,%-Blacks,%-Hispanics,%-Whites,%-Others
62,292,292,65,1.0,5.5956595887408795,5.267591659791877,103,42,138,9,0.5049019607843137,0.4666666666666667,0.549800796812749,0.5294117647058824
63,292,292,64,1.0,5.435191826079081,5.290481659323157,120,46,114,12,0.5529953917050692,0.4946236559139785,0.49137931034482757,0.6
64,292,292,81,1.0,5.358812151250945,5.118777268925115,101,43,134,14,0.5287958115183246,0.48863636363636365,0.5173745173745173,0.5833333333333334
65,292,292,70,1.0,5.449155241308121,5.127135641158915,112,42,131,7,0.4890829694323144,0.5185185185185185,0.5504201680672269,0.5
66,292,292,75,1.0,5.322397573556786,5.270014922007509,108,50,128,6,0.5142857142857142,0.625,0.4942084942084942,0.46153846153846156
67,292,292,82,1.0,5.533116870427854,5.285999550438339,115,44,120,13,0.5275229357798165,0.5,0.5194805194805194,0.52
68,292,292,86,1.0,5.487270832973895,5.279660070654685,107,48,124,13,0.5245098039215687,0.5647058823529412,0.5020242914979757,0.5
69,291,292,71,1.0,5.590709007954399,5.204563876305497,108,54,121,8,0.484304932735426,0.5806451612903226,0.5307017543859649,0.4444444444444444
70,292,292,74,1.0,5.687401218027318,5.257911419058888,107,48,129,8,0.5270935960591133,0.5,0.5201612903225806,0.5333333333333333
71,292,292,76,1.0,5.259369881639039,5.229510178604371,116,32,130,14,0.5296803652968036,0.4,0.5349794238683128,0.7
72,292,292,80,1.0,5.466462940383069,5.22967295590824,117,53,117,5,0.4978723404255319,0.5888888888888889,0.52,0.4166666666666667
73,292,292,73,1.0,5.363071864442859,5.261543918155173,100,41,140,11,0.5319148936170213,0.5125,0.5072463768115942,0.6111111111111112
74,292,292,78,1.0,5.396368385158781,5.199643954118467,112,45,123,12,0.5,0.5487804878048781,0.5125,0.75
75,292,292,67,1.0,5.356942006056262,5.0541954867739,119,51,109,13,0.5748792270531401,0.49038461538461536,0.4954545454545455,0.41935483870967744
76,292,292,71,1.0,5.39786911487078,5.160868996970079,119,50,117,6,0.5613207547169812,0.5208333333333334,0.4854771784232365,0.46153846153846156
77,292,292,71,1.0,5.524549653373286,5.282754931859239,109,48,122,13,0.5317073170731708,0.5,0.5083333333333333,0.6190476190476191
78,292,292,80,1.0,5.400423712859348,5.237781072541632,115,43,128,6,0.5088495575221239,0.524390243902439,0.5355648535564853,0.4
79,292,292,68,1.0,5.402751384048031,5.148455194065063,108,44,128,12,0.5346534653465347,0.4888888888888889,0.5079365079365079,0.6666666666666666
80,292,292,59,1.0,5.394684502822229,5.132531298067816,111,54,122,5,0.5336538461538461,0.5567010309278351,0.5104602510460251,0.2777777777777778
