Iteration,Total-Applicants-Assigned,Total-#-Houses,Disabiled-Applicants-Assigned,%-Disabiled-Applicants-Assigned,Disability-Utility,Distance-Utility,#-Blacks,#-Hispanics,#-Whites,#-Others,%-Blacks,%-Hispanics,%-Whites,%-Others
20,292,292,76,1.0,353.5206985506955,6.230718527306606,110,47,126,9,0.55,0.5222222222222223,0.5,0.45
21,292,292,97,1.0,337.73568714415313,6.2913362701592375,112,43,125,12,0.5209302325581395,0.5657894736842105,0.5040322580645161,0.5217391304347826
22,292,292,73,1.0,316.52021536901566,6.284721048539278,113,48,119,12,0.5,0.5217391304347826,0.53125,0.6
23,292,292,69,1.0,323.3622149113379,6.250435909193333,103,48,133,8,0.5202020202020202,0.5853658536585366,0.4962686567164179,0.5714285714285714
24,292,292,74,1.0,315.6458805379468,6.2003022591879295,114,41,129,8,0.5158371040723982,0.4880952380952381,0.5560344827586207,0.32
25,292,292,78,1.0,330.43772831618793,6.233740079780516,113,47,124,8,0.5458937198067633,0.6025641025641025,0.48249027237354086,0.4
26,292,292,75,1.0,345.5047382020375,6.283079218036498,106,44,127,15,0.5221674876847291,0.5176470588235295,0.5100401606425703,0.6
27,292,292,70,1.0,311.88585807207414,6.295723561661287,117,46,124,5,0.5246636771300448,0.46,0.5414847161572053,0.5
28,292,292,68,1.0,326.6336765191964,6.325667598516558,117,46,118,11,0.5342465753424658,0.5542168674698795,0.4978902953586498,0.4782608695652174
29,292,292,70,1.0,332.23931802896897,6.360643097741433,114,47,119,12,0.5428571428571428,0.47959183673469385,0.5151515151515151,0.5217391304347826
30,292,292,79,1.0,355.0591073416976,6.147869767539137,115,45,122,10,0.5251141552511416,0.5,0.5258620689655172,0.47619047619047616
31,292,292,88,1.0,343.2453880640946,6.196902527570332,111,52,122,7,0.5186915887850467,0.5591397849462365,0.5083333333333333,0.4666666666666667
32,292,292,71,1.0,333.08723989374266,6.230505744261027,106,44,129,13,0.5408163265306123,0.5365853658536586,0.5078740157480315,0.43333333333333335
33,292,292,87,1.0,347.1745695761159,6.1939979619494645,112,47,124,9,0.5161290322580645,0.573170731707317,0.5102880658436214,0.45
34,292,292,77,1.0,330.8079391721142,6.238738362148225,105,47,129,11,0.5384615384615384,0.5662650602409639,0.49615384615384617,0.4583333333333333
35,292,292,64,1.0,359.7156426001955,6.305133389777616,108,50,124,10,0.5,0.5434782608695652,0.5254237288135594,0.5555555555555556
36,292,292,91,1.0,320.92066264143716,6.239549251556457,114,40,125,13,0.5158371040723982,0.5063291139240507,0.5252100840336135,0.5416666666666666
37,292,292,73,1.0,347.91017033855763,6.195294819392753,107,38,137,10,0.5169082125603864,0.5588235294117647,0.5131086142322098,0.5
38,292,292,88,1.0,337.1982798801925,6.223885969243325,107,48,123,14,0.4908256880733945,0.5161290322580645,0.5301724137931034,0.7368421052631579
39,292,292,66,1.0,320.6756440530595,6.383329455500222,119,36,127,10,0.5173913043478261,0.4931506849315068,0.5313807531380753,0.5
40,292,292,64,1.0,302.64933458906035,6.355578881626514,113,41,127,11,0.5255813953488372,0.5061728395061729,0.5141700404858299,0.5789473684210527
41,292,292,79,1.0,328.852898726218,6.296620928911378,100,44,133,15,0.4830917874396135,0.5057471264367817,0.5428571428571428,0.6521739130434783
42,292,292,52,1.0,322.13992538197715,6.177478680194437,106,50,128,8,0.53,0.5050505050505051,0.5182186234817814,0.5
43,292,292,78,1.0,331.75879215225825,6.298976394616804,106,36,138,12,0.5435897435897435,0.4675324675324675,0.5149253731343284,0.5454545454545454
44,292,292,84,1.0,328.50988563104914,6.270586963177213,109,42,128,13,0.5505050505050505,0.45161290322580644,0.5203252032520326,0.52
45,292,292,64,1.0,319.65538641082003,6.30136066493605,108,47,126,11,0.5538461538461539,0.5222222222222223,0.490272373540856,0.55
46,292,292,68,1.0,314.44214153337225,6.336413285147981,102,45,138,7,0.5204081632653061,0.5555555555555556,0.5018181818181818,0.7
47,292,292,77,1.0,351.25451626169115,6.184442566799231,110,49,127,6,0.5527638190954773,0.49,0.5120967741935484,0.4
48,292,292,64,1.0,337.86301488959333,6.277218739967846,104,52,127,9,0.5148514851485149,0.5777777777777777,0.508,0.45
49,292,292,57,1.0,325.2132264814998,6.32881684189505,113,51,116,12,0.5305164319248826,0.5930232558139535,0.47346938775510206,0.6666666666666666
50,292,292,78,1.0,344.83073697194646,6.224485866329135,115,41,129,7,0.515695067264574,0.5394736842105263,0.5119047619047619,0.6363636363636364
51,292,292,67,1.0,331.02867245345493,6.255264654790538,119,42,122,9,0.5242290748898678,0.525,0.5169491525423728,0.47368421052631576
52,292,292,73,1.0,312.45222776455745,6.318961757623151,113,48,118,13,0.5305164319248826,0.5454545454545454,0.4896265560165975,0.65
53,292,292,77,1.0,342.6223142170642,6.19652621935333,103,57,123,9,0.47685185185185186,0.5876288659793815,0.5394736842105263,0.42857142857142855
54,292,292,66,1.0,323.01139734433053,6.2533801685682215,109,54,123,6,0.5240384615384616,0.4864864864864865,0.5256410256410257,0.6666666666666666
55,292,292,85,1.0,322.49123116788655,6.273399845113691,104,48,132,8,0.5174129353233831,0.48484848484848486,0.5432098765432098,0.42105263157894735
56,292,292,65,1.0,354.0805991058236,6.225842252230131,116,45,119,12,0.5021645021645021,0.5844155844155844,0.5151515151515151,0.5217391304347826
57,292,292,80,1.0,351.6303424475737,6.310331757740459,112,50,125,5,0.5045045045045045,0.5681818181818182,0.5165289256198347,0.5
58,292,292,56,1.0,324.3831389275446,6.35836142156889,105,50,131,6,0.5172413793103449,0.5882352941176471,0.5097276264591439,0.35294117647058826
59,292,292,78,1.0,347.2879857528787,6.19045192665172,104,49,129,10,0.5473684210526316,0.5051546391752577,0.5119047619047619,0.43478260869565216
60,292,292,78,1.0,348.0596793478343,6.311435812284171,108,45,130,9,0.5346534653465347,0.5232558139534884,0.5058365758754864,0.5294117647058824
61,292,292,75,1.0,337.7367774328965,6.320026582077629,109,51,121,11,0.5240384615384616,0.5,0.5283842794759825,0.4782608695652174
62,292,292,56,1.0,314.8651816685433,6.402617546821627,101,46,134,11,0.47417840375586856,0.5897435897435898,0.5296442687747036,0.6111111111111112
63,292,292,80,1.0,345.9678826751377,6.270669350917555,114,44,125,9,0.5402843601895735,0.5641025641025641,0.49019607843137253,0.5
64,292,292,63,1.0,329.33702062077276,6.3337803174497305,105,45,131,11,0.5072463768115942,0.4787234042553192,0.5550847457627118,0.44
