Iteration,Total-Applicants-Assigned,Total-#-Houses,Disabiled-Applicants-Assigned,%-Disabiled-Applicants-Assigned,Disability-Utility,Distance-Utility,#-Blacks,#-Hispanics,#-Whites,#-Others,%-Blacks,%-Hispanics,%-Whites,%-Others
37,292,292,32,0.47058823529411764,5.454570797783738,5.301265410059006,96,48,134,14,0.5245901639344263,0.5454545454545454,0.4962962962962963,0.6666666666666666
38,292,292,27,0.43548387096774194,5.50038177871356,5.2915485624864145,131,40,114,7,0.6064814814814815,0.45977011494252873,0.4730290456431535,0.3888888888888889
39,292,292,50,0.5208333333333334,5.53253171375162,5.355097923358499,102,55,127,8,0.4834123222748815,0.632183908045977,0.5120967741935484,0.5
40,292,292,40,0.49382716049382713,5.395123512183201,5.247518591102022,114,56,108,14,0.5135135135135135,0.5490196078431373,0.5046728971962616,0.5833333333333334
41,292,292,36,0.5294117647058824,5.5358474003209865,5.312643839996214,107,47,130,8,0.4863636363636364,0.5,0.5579399141630901,0.5333333333333333
42,292,292,43,0.6417910447761194,5.5740725792291075,5.3978097605496025,122,39,122,9,0.5545454545454546,0.4482758620689655,0.5126050420168067,0.5294117647058824
43,292,292,33,0.4583333333333333,5.464465184514649,5.302950221886323,106,47,129,10,0.527363184079602,0.5529411764705883,0.5139442231075697,0.4
44,292,292,36,0.4931506849315068,5.606970522454206,5.356630370630767,118,35,130,9,0.543778801843318,0.45454545454545453,0.5179282868525896,0.5294117647058824
45,292,292,44,0.4943820224719101,5.5623475217464575,5.352721250460459,110,57,116,9,0.514018691588785,0.5643564356435643,0.5043478260869565,0.5294117647058824
46,292,292,26,0.4262295081967213,5.487313762596684,5.354504364511629,106,44,127,15,0.5326633165829145,0.5,0.5100401606425703,0.5769230769230769
47,292,292,40,0.49382716049382713,5.456026387808084,5.327526497629007,102,44,137,9,0.5024630541871922,0.43564356435643564,0.5805084745762712,0.4090909090909091
48,292,292,38,0.4810126582278481,5.627309111178754,5.261392495031326,113,44,128,7,0.5231481481481481,0.5057471264367817,0.5182186234817814,0.5833333333333334
49,292,292,32,0.48484848484848486,5.4978363793672775,5.348084617603311,109,39,133,11,0.545,0.45348837209302323,0.5155038759689923,0.6111111111111112
50,292,292,39,0.6,5.454753870946218,5.243303348365645,101,47,136,8,0.48095238095238096,0.5875,0.5375494071146245,0.42105263157894735
51,292,292,32,0.5079365079365079,5.555370712613269,5.301512126495293,117,45,121,9,0.4936708860759494,0.5487804878048781,0.5377777777777778,0.5
