Iteration,Total Applicants Assigned,Total # Houses,Disabiled Applicants Assigned,% Disabiled Applicants Assigned,Disability Utility,Distance Utility,# Blacks,# Hispanics,# Whites,# Others,% Blacks,% Hispanics,% Whites,% Others
1,292,292,44,0.5641025641025641,338.75332941760445,6.370955572274355,95,55,130,12,0.4567307692307692,0.5612244897959183,0.5579399141630901,0.5217391304347826
2,292,292,34,0.6415094339622641,317.75375721086465,6.359657741097408,129,44,110,9,0.5584415584415584,0.5569620253164557,0.4782608695652174,0.4090909090909091
