Iteration,Total Applicants Assigned,Total # Houses,Disabiled Applicants Assigned,% Disabiled Applicants Assigned,Disability Utility,Distance Utility,# Blacks,# Hispanics,# Whites,# Others,% Blacks,% Hispanics,% Whites,% Others
1,292,292,47,0.6527777777777778,322.69981610718423,6.352486075879572,104,49,130,9,0.5306122448979592,0.5157894736842106,0.5118110236220472,0.5294117647058824
2,292,292,43,0.5180722891566265,312.61252905280406,6.406685463933138,114,45,128,5,0.5205479452054794,0.569620253164557,0.5161290322580645,0.3125
